conversation_id,total_mensajes,motivos_no_pago,ofertas_asesor,argumentos_asesor,acuerdo_pago,fecha_compromiso,csat_declarado,score_satisfaccion,tono_cliente,tono_asesor,requiere_escalamiento,resumen_conversacion,modelo_llm
CONV_00000001,37,['falta_liquidez'],[],[],0,,7.0,100,neutral,empatico,False,"Cliente solicita información de saldo y número de crédito, menciona que debía haber pagado, pero no ofrece intención de pago ni fecha. No se llega a acuerdo de pago.",
CONV_00000002,38,['consulta_o_tramite'],[],[],0,,7.0,100,colaborativo,neutral,False,"La cliente inició la conversación buscando realizar un pago, pero aclaró que su intención era obtener extractos de la cuenta de su hija. El asesor explicó que no podía brindar dicha información sin un poder autenticado, por lo que la cliente indicó que le solicitaría el trámite a su hija y la conversación finalizó sin acuerdo de pago.",qwen/qwen3.8-27b
CONV_00000003,27,['pago_ya_realizado'],[],[],0,,,0,neutral,empatico,True,"Cliente informa que ya pagó el lunes, asesor confirma y finaliza sin problema.",openai/gpt-oss-20b
CONV_00000004,22,['desempleo'],['derivacion_reclamos'],['empatia_y_apoyo'],0,,,80,colaborativo,empatico,False,El cliente contactó al banco indicando que lleva dos cuotas atrasadas debido a que está desempleado. El asesor le proporcionó las instrucciones para verificar y radicar un siniestro de seguro de desempleo. El cliente aceptó la información y se comprometió a consultar el seguro antes de retomar la conversación.,qwen/qwen3.8-27b
CONV_00000005,92,['disputa_saldo_o_cobro'],['extension_plazo'],['evitar_gastos'],0,,,0,frustrado,ineficaz,True,"El cliente, actuando en nombre de una empresa, indica que no realizó el pago porque no recibió el extracto mensual en su correo electrónico. El asesor no pudo explicar el desglose de los intereses de mora y derivó al cliente a la línea de servicio al cliente para solicitar un estado de cuenta detallado, sin llegar a un acuerdo de pago concreto.",qwen/qwen3.8-27b
CONV_00000006,21,['pago_ya_realizado'],[],[],0,,,0,frustrado,neutral,True,"El cliente contactó al banco para informar que ya realizó el pago mínimo alterno el día anterior, adjuntando la constancia. El asesor explicó que dicho pago se toma como abono a la mora y que queda un saldo pendiente, lo que generó frustración en el cliente por la confusión de la plataforma. La conversación terminó sin acuerdo de pago adicional y con la necesidad de escalar para validar el abono y resolver la discrepancia.",qwen/qwen3.8-27b
CONV_00000007,32,"['emergencia_familiar', 'falta_liquidez']",['refinanciacion'],['beneficio_inmediato'],0,,,40,frustrado,neutral,False,"El cliente contactó al banco para negociar una deuda por tarjeta de crédito, citando problemas familiares y disminución de ingresos como motivo del impago. El asesor ofreció una refinanciación a 96 meses, pero el cliente rechazó la oferta por considerar la tasa de interés demasiado alta y decidió buscar otras alternativas. La conversación terminó sin acuerdo de pago ni fecha comprometida.",qwen/qwen3.8-27b
CONV_00000008,56,['falta_liquidez'],['fraccionamiento'],['evitar_reporte'],0,,,80,colaborativo,empatico,False,"El cliente solicitó diferir el pago de dos tarjetas de crédito debido a la falta de liquidez para cubrir el saldo total en una sola cuota. El asesor ofreció una reestructuración a 6 meses con tasa de interés, la cual fue aceptada por el cliente para su radicación ante el comité. No se estableció una fecha de pago inmediata, sino que se espera la aprobación del comité.",qwen/qwen3.8-27b
CONV_00000009,31,['consulta_o_tramite'],[],[],0,,7.0,100,frustrado,neutral,False,"El cliente contactó al banco porque no podía visualizar ni realizar el pago de su tarjeta en la aplicación móvil, indicando que el sistema mostraba el pago 'en proceso'. El asesor validó la información y proporcionó enlaces web y alternativas presenciales para completar la transacción, sin ofrecer negociaciones de deuda. La conversación finalizó con el cliente agradeciendo y otorgando una puntuación de satisfacción de 10/10.",qwen/qwen3.8-27b
CONV_00000010,69,['falta_liquidez'],['extension_plazo'],['evitar_reporte'],1,viernes,,90,colaborativo,empatico,False,"El cliente solicitó una alternativa para su crédito vehicular debido a atrasos en el pago de su nómina. Se acordó el pago de la cuota de mayo para el viernes y el traslado de las cuotas de junio y julio, retomando pagos en agosto. El cliente aceptó las condiciones y la solicitud fue radicada.",qwen/qwen3.8-27b
CONV_00000011,21,['desconexion_o_rebote'],[],['evitar_gastos'],0,,,30,neutral,presionador,False,Cliente solicita información sobre el pago mínimo sin indicar motivo de impago. El asesor intenta presionar y ofrece advertencias sobre cargos adicionales. No se llega a un acuerdo de pago ni se identifica disputa.,openai/gpt-oss-20b
CONV_00000012,21,['pago_ya_realizado'],[],[],0,,6.0,83,neutral,neutral,True,"El cliente contactó al banco indicando que ya realizó el pago de su crédito vehicular pero continúa recibiendo notificaciones de cobranza. El asesor validó que el cliente está al día y la próxima cuota es el 17. La conversación finalizó sin nuevos acuerdos de pago, confirmando la situación de cobro duplicado.",qwen/qwen3.8-27b
CONV_00000013,26,['falta_liquidez'],['extension_plazo'],['evitar_gastos'],1,14 PERSONA_00000108,,90,colaborativo,neutral,False,"El cliente solicitó un acuerdo de pago indicando que solo puede pagar el día 14 o 15 del mes debido a limitaciones de flujo. El asesor intentó acortar el plazo al día 3, pero el cliente insistió en su fecha, aceptando finalmente pagar el 14. La conversación terminó sin confirmación final del pago inmediato, quedando pendiente la validación por parte del asesor.",qwen/qwen3.8-27b
CONV_00000014,27,['consulta_o_tramite'],[],[],1,HOY,,100,colaborativo,neutral,False,El cliente solicitó información para realizar un pago en línea de una libranza en mora. El asesor proporcionó el enlace de pago y el cliente confirmó su intención de pagar el mismo día.,qwen/qwen3.8-27b
CONV_00000015,59,['disputa_saldo_o_cobro'],[],[],0,,,0,indignado,ineficaz,True,"El cliente disputa el cobro alegando que ya realizó el pago y solicitó el traslado de la cuota a otro crédito mediante carta en sucursal, sin obtener respuesta. El asesor no validó la información proporcionada y continuó con preguntas de capacidad de pago, lo que generó una fuerte queja por parte del cliente. La conversación terminó con la amenaza de finalizar el chat por lenguaje ofensivo, sin llegar a una solución.",qwen/qwen3.8-27b
